Title,Tags
「東海道　京都之内」「大内能上覧図」,"{'entities': [(1, 4, 'LOC'), (5, 7, 'GPE')]}"
「東海道　京都名所之内」「四条河原」,"{'entities': [(1, 4, 'LOC'), (5, 7, 'GPE'), (13, 17, 'GPE')]}"
「東海道名所之内」「御能拝見之図」,"{'entities': [(1, 4, 'LOC')]}"
「東海道」「京都  紫震殿」,"{'entities': [(1, 4, 'LOC'), (6, 8, 'GPE'), (9, 12, 'GPE')]}"
「東海道之内」「京都参内」,"{'entities': [(1, 4, 'LOC'), (8, 10, 'GPE')]}"
「東海道之内」「京」「大内蹴鞠之遊覧」,"{'entities': [(1, 4, 'LOC'), (8, 9, 'GPE'), (11, 13, 'GPE')]}"
「東海道名所之内」「上加茂」「岩本社」「三本杉」「片岡社」「楼門」「御供所」「若宮」「別雷皇太神宮」「杉尾社」「仮殿」,"{'entities': [(1, 4, 'LOC'), (10, 13, 'GPE'), (15, 18, 'GPE'), (20, 23, 'GPE'), (25, 28, 'GPE'), (30, 32, 'GPE'), (34, 37, 'GPE'), (39, 41, 'GPE'), (43, 49, 'GPE'), (51, 54, 'GPE'), (56, 58, 'GPE')]}"
「東海道名所之内」「京加茂」「山科」「黒谷」「吉田山」「将軍塚」「比叡山」「比良」,"{'entities': [(1, 4, 'LOC'), (10, 13, 'GPE'), (15, 17, 'GPE'), (19, 21, 'GPE'), (23, 26, 'LOC'), (28, 31, 'GPE'), (33, 36, 'LOC'), (38, 40, 'LOC')]}"
「東海道名所之内」「加茂の競馬」,"{'entities': [(1, 4, 'LOC'), (10, 12, 'GPE')]}"
「東海道名所之内」「糺河原」「糺川原」「みたらし川」「河合社」,"{'entities': [(1, 4, 'LOC'), (10, 13, 'LOC'), (15, 18, 'LOC'), (20, 25, 'LOC'), (27, 30, 'GPE')]}"
「東海道名所之内」「祇園祭礼」,"{'entities': [(1, 4, 'LOC'), (10, 12, 'GPE')]}"
「東海道 京都名所之内」「島原」,"{'entities': [(1, 4, 'LOC'), (5, 7, 'GPE'), (13, 15, 'GPE')]}"
「東海道名所」「京洛中ノ内」「五条橋」,"{'entities': [(1, 4, 'LOC'), (8, 10, 'GPE'), (15, 18, 'GPE')]}"
「東海道名所之内」「京都等持院足利十五代木像之図」,"{'entities': [(1, 4, 'LOC'), (10, 15, 'GPE'), (12, 15, 'GPE')]}"
「東海道名所つゝき」「羅生門之古図」「春雨ノ社」「金札石刀石トモ云」「鬼カミノハシラ」,"{'entities': [(1, 4, 'LOC'), (11, 14, 'GPE'), (19, 23, 'GPE')]}"
「東海道之内」「京都御出立」,"{'entities': [(1, 4, 'LOC'), (8, 10, 'GPE')]}"
「東海道名所之内」「下加茂」「☆☆との」「いのうへ社」「二言社」「御供所」「本社御租神」「石☆社」,"{'entities': [(1, 4, 'LOC'), (10, 13, 'GPE'), (21, 26, 'GPE'), (28, 31, 'GPE'), (33, 36, 'GPE'), (38, 43, 'GPE'), (45, 48, 'GPE')]}"
「東海道名所之内」「宇治」,"{'entities': [(1, 4, 'LOC'), (10, 12, 'GPE')]}"
「二見浦」,"{'entities': [(1, 4, 'GPE')]}"
「長谷川貞信筆　都名所写真鏡　上篇」,"{'entities': [(7, 8, 'GPE')]}"
「都名所之内」「広沢池秋の月」「遍照寺山」「いけ浦」「愛宕山」,"{'entities': [(1, 2, 'GPE'), (8, 11, 'LOC'), (16, 20, 'LOC'), (22, 25, 'GPE'), (27, 30, 'LOC')]}"
「都名所之内」「知恩院本堂に傘を見る,"{'entities': [(1, 2, 'GPE'), (8, 13, 'GPE')]}"
「都名所之内」「伏見稲荷社」,"{'entities': [(1, 2, 'GPE'), (8, 13, 'GPE')]}"
「都名所之内」「高台寺秋ノ景」,"{'entities': [(1, 2, 'GPE'), (8, 11, 'LOC')]}"
「都名所之内」「東福寺通天橋」,"{'entities': [(1, 2, 'GPE'), (8, 14, 'GPE')]}"
「都名所之内」「西大谷目鏡橋」,"{'entities': [(1, 2, 'GPE'), (8, 14, 'GPE')]}"
「都名所之内」「音羽山清水寺」,"{'entities': [(1, 2, 'GPE'), (8, 14, 'GPE')]}"
「都名所之内」「栂尾門前雨中」,"{'entities': [(1, 2, 'GPE'), (8, 11, 'GPE')]}"
「都名所之内」「祇園大鳥居」,"{'entities': [(1, 2, 'GPE'), (8, 13, 'GPE')]}"
「都名所之内」「三条大はし」,"{'entities': [(1, 2, 'GPE'), (8, 13, 'GPE')]}"
「都名所之内」「竜安寺雪曙」,"{'entities': [(1, 2, 'GPE'), (8, 11, 'GPE')]}"
「都名所之内」「四条橋より縄手通大和橋を望」,"{'entities': [(1, 2, 'GPE'), (8, 11, 'GPE'), (13, 19, 'GPE')]}"
「都名所之内」「如意嶽大文字」,"{'entities': [(1, 2, 'GPE'), (8, 14, 'GPE')]}"
「都名所之内」「比叡山山上より湖水を望」「三上山」,"{'entities': [(1, 2, 'GPE'), (8, 11, 'LOC'), (21, 24, 'LOC')]}"
「都名所之内」「三条大はし」,"{'entities': [(1, 2, 'GPE'), (8, 13, 'GPE')]}"
「都名所之内」「北野天満宮境内」,"{'entities': [(1, 2, 'GPE'), (8, 13, 'GPE')]}"
「都名所之内」「金閣寺雪景」,"{'entities': [(1, 2, 'GPE'), (8, 11, 'GPE')]}"
「都名所之内」「妙心寺雪江松」,"{'entities': [(1, 2, 'GPE'), (8, 11, 'GPE')]}"
「都名所之内」「竜安寺雪曙」,"{'entities': [(1, 2, 'GPE'), (8, 11, 'GPE')]}"
「都名所之内」「御室仁和寺花盛」,"{'entities': [(1, 2, 'GPE'), (8, 13, 'GPE')]}"
「都名所之内」「広沢池秋の月」「遍照寺山」「いけ浦」,"{'entities': [(1, 2, 'GPE'), (8, 11, 'LOC'), (16, 20, 'LOC'), (22, 25, 'GPE')]}"
「都名所之内」「広沢池秋の月」「遍照寺山」「いけ浦」「愛宕山」,"{'entities': [(1, 2, 'GPE'), (8, 11, 'LOC'), (16, 20, 'LOC'), (22, 25, 'GPE'), (27, 30, 'LOC')]}"
「都名所之内」「高雄奥の院庭中」「清滝川」,"{'entities': [(1, 2, 'GPE'), (8, 10, 'GPE'), (17, 20, 'LOC')]}"
「都名所之内」「栂尾門前雨中」,"{'entities': [(1, 2, 'GPE'), (8, 11, 'GPE')]}"
「都名所之内」「愛宕山之図」「清滝川」,"{'entities': [(1, 2, 'GPE'), (8, 11, 'LOC'), (15, 18, 'LOC')]}"
「都名所之内」「嵐山三軒家より眺望」「となせの滝」,"{'entities': [(1, 2, 'GPE'), (8, 13, 'GPE'), (19, 24, 'GPE')]}"
「都名所之内」「島原出口光景」,"{'entities': [(1, 2, 'GPE'), (8, 10, 'GPE')]}"
「都名所之内」「島原出口光景」,"{'entities': [(1, 2, 'GPE'), (8, 10, 'GPE')]}"
「京都名所之内」「金閣寺」,"{'entities': [(1, 2, 'GPE'), (9, 12, 'GPE')]}"
「滑稽都名所」「三十三間堂」,"{'entities': [(3, 4, 'GPE'), (8, 13, 'GPE')]}"
「滑稽都名所」「黒谷」,"{'entities': [(3, 4, 'GPE'), (8, 10, 'GPE')]}"
「滑稽都名所」「銀閣寺」,"{'entities': [(3, 4, 'GPE'), (8, 11, 'GPE')]}"
「滑稽都名所」「耳塚」,"{'entities': [(3, 4, 'GPE'), (8, 10, 'GPE')]}"
「滑稽都名所」「東寺」,"{'entities': [(3, 4, 'GPE'), (8, 10, 'GPE')]}"
「滑稽都名所」「真葛原」,"{'entities': [(3, 4, 'GPE'), (8, 11, 'GPE')]}"
「滑稽都名所」「内裏」,"{'entities': [(3, 4, 'GPE'), (8, 10, 'GPE')]}"
「滑稽都名所」「大仏」,"{'entities': [(3, 4, 'GPE'), (8, 10, 'GPE')]}"
「滑稽都名所」「平野」,"{'entities': [(3, 4, 'GPE'), (8, 10, 'GPE')]}"
「滑稽都名所」「鞍馬山」,"{'entities': [(3, 4, 'GPE'), (8, 11, 'LOC')]}"
「滑稽都名所」「広沢」,"{'entities': [(3, 4, 'GPE'), (8, 10, 'GPE')]}"
「滑稽都名所」「竜安寺」,"{'entities': [(3, 4, 'GPE'), (8, 11, 'GPE')]}"
「諸国名所百景」「京都祇園祭礼」,"{'entities': [(9, 11, 'GPE')]}"
「京洛名所」「二条橋より大文字を望む」,"{'entities': [(1, 3, 'GPE'), (7, 10, 'GPE'), (12, 15, 'GPE')]}"
「東福寺通天橋」,"{'entities': [(1, 7, 'GPE')]}"
「祇園春宵」,"{'entities': [(1, 3, 'GPE')]}"
「京都大仏殿大鐘楼」,"{'entities': [(1, 9, 'GPE')]}"
「大文字山」,"{'entities': [(1, 5, 'LOC')]}"
「銀閣寺新緑」,"{'entities': [(1, 4, 'GPE')]}"
「島原大門出口ノ柳」,"{'entities': [(1, 5, 'GPE')]}"
「三十三間堂」,"{'entities': [(1, 6, 'GPE')]}"
「嵐山渡月橋の夏雨」,"{'entities': [(1, 6, 'GPE')]}"
「清水寺秋色」,"{'entities': [(1, 4, 'GPE')]}"
「平安　諸大家名所画譜,"{'entities': [(1, 3, 'GPE')]}"
「京都諸大家筆　平安諸大家名所画譜目録」,"{'entities': [(1, 3, 'GPE'), (7, 9, 'GPE')]}"
「平安諸大家名所画譜一」「第一応挙筆宇治橋之図」,"{'entities': [(1, 3, 'GPE'), (18, 21, 'GPE')]}"
「平安諸大家名所画譜ニ」「第二景文筆鳳凰堂之図」,"{'entities': [(1, 3, 'GPE'), (18, 21, 'GPE')]}"
「江戸名所百人美女」「するがだい」,"{'entities': [(1, 3, 'GPE'), (11, 16, 'GPE')]}"
「江戸名所百人美女日本はし」,"{'entities': [(1, 3, 'GPE'), (9, 13, 'GPE')]}"
「江戸名所百人美女」  「柳はし」,"{'entities': [(1, 3, 'GPE'), (11, 14, 'GPE')]}"
「江戸名所百人美女」「鎧のわたし」,"{'entities': [(1, 3, 'GPE'), (11, 16, 'GPE')]}"
「江戸名所道戯盡」「二」「両国の夕立」,"{'entities': [(1, 3, 'GPE'), (13, 15, 'GPE')]}"
「江戸名所道戯盡」「四」「御茶の水の釣人」,"{'entities': [(1, 3, 'GPE'), (13, 17, 'GPE')]}"
「江戸名所道戯盡」「五」「飛鳥山の花見」,"{'entities': [(1, 3, 'GPE'), (13, 15, 'LOC')]}"
「江戸名所道外盡」「六」「不忍池」,"{'entities': [(1, 3, 'GPE'), (13, 16, 'GPE')]}"
「江戸名所道化盡」「七」「新シ橋の大風」,"{'entities': [(1, 3, 'GPE'), (13, 16, 'LOC')]}"
「江戸名所道外盡」「八」「隅田堤の弥生」,"{'entities': [(1, 3, 'GPE'), (13, 16, 'GPE')]}"
「江戸名所道化盡」「九」「湯嶋天神の臺」,"{'entities': [(1, 3, 'GPE'), (13, 17, 'GPE')]}"
「江戸名所道外尽」「十」「外神田佐久間町」,"{'entities': [(1, 3, 'GPE'), (13, 20, 'GPE')]}"
「江戸名所道戯盡」「十三」「鎧のわたし七夕祭」,"{'entities': [(1, 3, 'GPE'), (14, 19, 'GPE')]}"
「江戸名所道戯盡」「十四」「芝赤羽はしの雪中」,"{'entities': [(1, 3, 'GPE'), (14, 19, 'GPE')]}"
「江戸名所道戯盡」「十六」「王子狐火」,"{'entities': [(1, 3, 'GPE')]}"
「江戸名所道化盡」「十七」「通壹丁目祇園會」,"{'entities': [(1, 3, 'GPE'), (14, 20, 'GPE')]}"
「江戸名所道外盡」「二十」「道灌山虫聞」,"{'entities': [(1, 3, 'GPE'), (14, 17, 'LOC')]}"
「江戸名所道外盡」「廿四」「数寄屋かし」,"{'entities': [(1, 3, 'GPE'), (14, 19, 'GPE')]}"
「江戸名所道戯盡」「三十五」「吾嬬の森梅見もとり」,"{'entities': [(1, 3, 'GPE'), (14, 17, 'GPE')]}"
「江戸名所張交図會」「浅草金龍山」「三囲」「雷門」「すみた川」「向嶋花屋鋪」,"{'entities': [(1, 3, 'GPE'), (11, 16, 'LOC'), (18, 20, 'GPE'), (22, 24, 'GPE'), (26, 30, 'LOC'), (32, 37, 'GPE')]}"
「江戸廼花名勝會」「五番組」「ま」「赤坂」「赤坂奴凧平　尾上多見蔵」「赤坂御門外」,"{'entities': [(1, 3, 'GPE'), (18, 20, 'GPE'), (22, 24, 'GPE'), (35, 37, 'GPE')]}"
「江戸の華名勝會」「五番組」「ま」「三河臺」「三河臺　氷川神社」「関東小六　市川市蔵」,"{'entities': [(1, 3, 'GPE'), (18, 21, 'GPE'), (23, 26, 'GPE'), (27, 31, 'GPE')]}"
「東京名所四十八景　日本はし夕けしき」,"{'entities': [(1, 3, 'GPE'), (10, 14, 'GPE')]}"
「東京名所四十八景」「神田明神社内年の市」,"{'entities': [(1, 3, 'GPE'), (11, 16, 'GPE'), (16, 20, 'LOC')]}"
「東京名所四十八景　谷中諏訪の社廿六夜まち」,"{'entities': [(1, 3, 'GPE'), (12, 16, 'GPE')]}"
「東海道五十三次」  「三十八」「藤川」,"{'entities': [(1, 4, 'LOC'), (17, 19, 'GPE')]}"
「東都六玉顔ノ内」  「角田川」,"{'entities': [(1, 3, 'GPE'), (12, 15, 'LOC')]}"
「名所江戸百景」  「猿わか町よるの景」,"{'entities': [(3, 5, 'GPE'), (11, 15, 'GPE')]}"
「江戸名所図会」  「卅二」「三十三間堂」「曽我五郎時宗」,"{'entities': [(1, 3, 'GPE'), (15, 20, 'GPE')]}"
「江戸名所　百人美女」  「今川はし」,"{'entities': [(1, 3, 'GPE'), (14, 18, 'GPE')]}"
 「東海道五十三次の内」  「戸塚藤沢間」「吉田橋」「松若」,"{'entities': [(2, 4, 'LOC'), (15, 19, 'GPE'), (22, 25, 'GPE'), (27, 29, 'GPE')]}"
 「江戸名所百人美女」  「今戸」,"{'entities': [(2, 4, 'GPE'), (14, 16, 'GPE')]}"
「東都高名会席尽」  「金子」「助六」,"{'entities': [(1, 3, 'GPE')]}"
 「木曽六十九駅」  「草津」「野路玉川」「清玄尼」,"{'entities': [(2, 4, 'LOC'), (12, 14, 'GPE'), (16, 20, 'LOC')]}"
 「東海道」 「程ケ谷戸塚間」「権太坂」「いがみ」,"{'entities': [(2, 5, 'LOC'), (8, 13, 'GPE'), (16, 19, 'GPE')]}"
 「両国夕景一ツ目千金」,"{'entities': [(2, 4, 'LOC'), (9, 11, 'GPE')]}"
「見立八景之内」  「清水寺の晩鐘」「清玄阿闍梨」「入間の息女桜姫」,"{'entities': [(11, 14, 'GPE')]}"
 「江戸自慢三十六興」  「落合　ほたる」,"{'entities': [(2, 4, 'GPE'), (14, 16, 'GPE')]}"
 「曽我八景自筆鏡」  「十郎祐成」「曽我中村」,"{'entities': [(2, 4, 'GPE')]}"
 「東海道五十三次之内」  「御油」「其二」「山本勘助母」,"{'entities': [(2, 5, 'LOC'), (15, 17, 'GPE')]}"
「東海道」「大津三井寺」,"{'entities': [(1, 4, 'LOC'), (6, 11, 'GPE')]}"
「王城加茂社風景」,"{'entities': [(3, 6, 'GPE')]}"
「東海道名所之内」  「深草乃里」「少将つか」「せう／＼さくら」「元政寺」,"{'entities': [(1, 4, 'LOC'), (12, 16, 'GPE'), (33, 36, 'GPE')]}"
「東海道名所之内」  「淀川」,"{'entities': [(1, 4, 'LOC'), (12, 14, 'LOC')]}"
「東京三芝居町繁栄之図」,"{'entities': [(1, 3, 'GPE'), (4, 6, 'GPE')]}"
「津島牛頭天王」「舟発場」「佐屋川」「本陣」,"{'entities': [(1, 3, 'GPE'), (14, 17, 'LOC'), (19, 21, 'LOC')]}"
 「東海道」  「浜松」,"{'entities': [(2, 5, 'LOC'), (9, 11, 'GPE')]}"
 「東海道之内」  「岡部」,"{'entities': [(2, 5, 'LOC'), (11, 13, 'GPE')]}"
 「東海道名所之内」  「豊川」,"{'entities': [(2, 5, 'GPE'), (13, 15, 'GPE')]}"
［川口善光寺開帳参詣之図］,"{'entities': [(1, 6, 'GPE')]}"
 「東海道」  「島田」,"{'entities': [(2, 5, 'LOC'), (9, 11, 'GPE')]}"
「浅草金竜山之図」,"{'entities': [(1, 6, 'GPE')]}"
「東京名所の内」  「浅草区金竜山浅草寺境内一覧」,"{'entities': [(1, 3, 'GPE'), (11, 20, 'GPE')]}"
 「しん板車づくし」  「横浜鉄道図」,"{'entities': [(13, 15, 'GPE')]}"
 「東都名所高輪行粧之図」,"{'entities': [(2, 4, 'GPE'), (6, 8, 'GPE')]}"
 「東都名所」  「隅田川花盛」,"{'entities': [(2, 4, 'GPE'), (10, 13, 'LOC')]}"
 「江戸の花名勝会」  「り」「十番組」「一ツ家の賤の女　尾上菊次郎」「浅茅が原衣掛松」,"{'entities': [(2, 4, 'GPE'), (36, 40, 'GPE')]}"
「江戸の花名勝会」  「ち」「十番組」「一ツ家の姥　市川海老蔵」「猿若芝居町」,"{'entities': [(1, 3, 'GPE'), (33, 38, 'GPE')]}"
 「東京三十六景」  「十五」「両国」「十六」「本所一ツ目之橋」,"{'entities': [(2, 4, 'GPE'), (16, 18, 'GPE'), (26, 31, 'GPE')]}"
 「東京十二月之内」  「二月」「亀井戸天神」「亀井戸梅林」,"{'entities': [(2, 4, 'GPE'), (17, 22, 'GPE'), (24, 29, 'GPE')]}"
 「東京十二月之内」  「四月」「品川沖之景」,"{'entities': [(2, 4, 'GPE'), (17, 19, 'GPE')]}"
 「東京十二月之内」  「六月」「愛宕之景」「神田神社」,"{'entities': [(2, 4, 'GPE'), (17, 19, 'GPE'), (23, 27, 'GPE')]}"
「東京開化名所」  「三代徳川家光公」「三河島之景」,"{'entities': [(1, 3, 'GPE'), (20, 23, 'GPE')]}"
 「東京名所競」  「上野東照宮」,"{'entities': [(2, 4, 'GPE'), (11, 16, 'GPE')]}"
「東京銘勝会」  「不忍の競馬」,"{'entities': [(1, 3, 'GPE'), (10, 15, 'GPE')]}"
 「東海道」  「土山」「鈴ヶ山坂ノ下」,"{'entities': [(2, 5, 'LOC'), (9, 11, 'GPE'), (13, 19, 'GPE')]}"
「堀切花菖蒲」,"{'entities': [(1, 6, 'GPE')]}"
 「両国花火之図」,"{'entities': [(2, 4, 'GPE')]}"
 「亀戸梅屋敷」,"{'entities': [(1, 6, 'GPE')]}"
「東京十二月之内」  「一月」「宮城之春」「九段坂」,"{'entities': [(1, 3, 'GPE'), (16, 20, 'LOC'), (24, 27, 'GPE')]}"
 「見立十二支」  「丑」「向島」「牛島神社」,"{'entities': [(14, 16, 'GPE'), (18, 22, 'GPE')]}"
「見立十二支」  「辰」「深川八幡」「富士」,"{'entities': [(13, 17, 'GPE'), (19, 21, 'LOC')]}"
 「見立十二支」  「酉」「浅草田甫酉の市」,"{'entities': [(14, 18, 'GPE')]}"
 「東海道五拾三次之内」  「大尾」「京師」「三条大橋」,"{'entities': [(2, 5, 'LOC'), (19, 21, 'GPE'), (23, 27, 'GPE')]}"
 「東海道五拾三次之内」  「日本橋」「行烈振出」,"{'entities': [(2, 5, 'LOC'), (15, 18, 'LOC')]}"
 「東海道五拾三次之内」  「四日市」「三重川」,"{'entities': [(2, 5, 'LOC'), (15, 18, 'GPE'), (20, 23, 'LOC')]}"
 「東海道五拾三次之内」  「大津」「走井茶屋」,"{'entities': [(2, 5, 'GPE'), (15, 17, 'GPE'), (19, 21, 'GPE')]}"
 「東海道五拾三次之内」  「平塚」「縄手道」,"{'entities': [(2, 5, 'LOC'), (15, 17, 'GPE'), (19, 22, 'LOC')]}"
 「東海道五拾三次之内」  「土山」「春之雨」,"{'entities': [(2, 5, 'LOC'), (15, 17, 'GPE')]}"
 「東海道五拾三次之内」  「日坂」「佐夜ノ中山」,"{'entities': [(2, 5, 'LOC'), (15, 17, 'GPE'), (19, 24, 'LOC')]}"
「東海道五拾三次之内」  「庄野」「白雨」,"{'entities': [(2, 5, 'LOC'), (15, 17, 'GPE')]}"
 「江戸名所」  「両国花火」,"{'entities': [(2, 4, 'GPE'), (10, 12, 'GPE')]}"
 「江戸名所」  「芝増上寺前の景」,"{'entities': [(2, 4, 'GPE'), (11, 14, 'GPE')]}"
 「東都名所」  「新吉原五丁町弥生花盛全図」,"{'entities': [(2, 4, 'GPE'), (10, 16, 'GPE')]}"
 「東海道五拾三次之内」  「袋井」「出茶屋ノ図」,"{'entities': [(2, 5, 'LOC'), (15, 17, 'GPE'), (19, 22, 'GPE')]}"
［江都名所浅草観音の図］,"{'entities': [(1, 3, 'GPE'), (5, 9, 'GPE')]}"
「東京市中馬車往来之図」,"{'entities': [(1, 3, 'GPE')]}"
［東京海運橋兜町為換座五階造リ図］,"{'entities': [(1, 8, 'GPE')]}"
［久松町劇場久松座繁栄図］,"{'entities': [(1, 4, 'GPE')]}"
「東京名所」  「スジカイ　万代橋」,"{'entities': [(1, 3, 'GPE'), (14, 17, 'GPE')]}"
「東京名所之内」  「高輪海岸鉄道の図」,"{'entities': [(1, 3, 'GPE'), (11, 15, 'GPE')]}"
 「東海道五拾三次之内」  「原」「朝之富士」,"{'entities': [(2, 5, 'LOC'), (15, 16, 'GPE'), (20, 22, 'LOC')]}"
「横浜名所図会」  「野毛山下蒸気車」,"{'entities': [(1, 3, 'GPE'), (11, 14, 'LOC')]}"
「東京名所之内」  「上野公園清水堂」,"{'entities': [(1, 3, 'GPE'), (11, 18, 'GPE')]}"
「東海道五拾三次之内」  「見附」「天竜川図」,"{'entities': [(1, 4, 'LOC'), (14, 16, 'GPE'), (18, 22, 'GPE')]}"
「東京開化三十六景」  「柳橋より浅草橋」,"{'entities': [(1, 3, 'GPE'), (13, 15, 'GPE'), (17, 20, 'GPE')]}"
「東京名所之内」  「浅草金竜山」,"{'entities': [(1, 3, 'GPE'), (11, 16, 'GPE')]}"
「伊勢名所」「伊勢土産名所図画」  「二見浦之景」「賓日館及海水景」「六」,"{'entities': [(1, 3, 'GPE'), (19, 22, 'GPE'), (26, 32, 'GPE')]}"
「大和名所」  「大仏殿」,"{'entities': [(1, 3, 'GPE'), (10, 13, 'GPE')]}"
「大和名所」  「春日神社」「若草山」,"{'entities': [(1, 3, 'GPE'), (9, 13, 'GPE'), (15, 18, 'LOC')]}"
「府県名所図会」  「兵庫県」「神戸布引滝」「県庁之位地　八部郡神戸」,"{'entities': [(11, 14, 'GPE'), (16, 21, 'GPE'), (29, 34, 'GPE')]}"
 「神田御社眺望」,"{'entities': [(2, 6, 'GPE')]}"
 「大阪名所」  「桜乃宮より造幣局を望む」「天神橋之図」「造幣局」,"{'entities': [(2, 4, 'GPE'), (10, 13, 'GPE'), (23, 26, 'GPE'), (30, 33, 'GPE')]}"
 「東海道之内」  「関」,"{'entities': [(2, 5, 'LOC')]}"
「観音霊験記」  「秩父順礼廿九番」「笹の戸　見目山　長泉院」,"{'entities': [(19, 30, 'GPE')]}"
［東京三井組ハウス］,"{'entities': [(1, 9, 'GPE')]}"
「東京名所　浅草観音之図」,"{'entities': [(1, 3, 'GPE'), (6, 10, 'GPE')]}"
 「名所江戸百景」  「鎧の渡し　小網町」,"{'entities': [(4, 6, 'GPE'), (16, 20, 'GPE')]}"
「諸国滝廻リ」  「木曽海道　小野ノ瀑布」,"{'entities': [(10, 14, 'LOC')]}"
「五十三次名所図会」「丗二」  「あら井　渡舟着岸御関所」,"{'entities': [(17, 20, 'GPE')]}"
「五十三次名所図会　四十」「池鯉鮒　八ツ橋むら　杜若の古せき」,"{'entities': [(14, 23, 'GPE')]}"
「五十三次名所図会」「丗八」  「藤川　山中の里別名宮路山」,"{'entities': [(17, 19, 'GPE'), (20, 24, 'GPE'), (26, 29, 'LOC')]}"
「川崎」  「神奈川へ二リ半」,"{'entities': [(1, 3, 'LOC'), (7, 10, 'GPE')]}"
「江都名所」  「洲崎しほ干狩」,"{'entities': [(1, 3, 'GPE'), (9, 11, 'GPE')]}"
「諸国名橋奇覧」  「摂州安治川口天保山」,"{'entities': [(11, 20, 'LOC')]}"
「東都名所」  「永代橋深川新地」,"{'entities': [(1, 3, 'GPE'), (9, 16, 'GPE')]}"
「五十三次名所図会」「一」  「日本橋　東雲の景,"{'entities': [(17, 20, 'GPE')]}"
「五十三次名所図会」「六」  「戸塚山道より不二眺望」,"{'entities': [(16, 20, 'LOC'), (22, 24, 'LOC')]}"
「富士三十六景」  「東都佃沖」,"{'entities': [(1, 3, 'LOC'), (11, 14, 'GPE')]}"
「江戸名所之内」  「真乳山」,"{'entities': [(1, 3, 'GPE'), (11, 14, 'LOC')]}"
「名所江戸百景」  「千住の大はし」,"{'entities': [(3, 5, 'GPE'), (11, 17, 'GPE')]}"
「諸国名所百景」  「遠州秋葉遠景袋井凧」,"{'entities': [(13, 15, 'GPE'), (17, 19, 'GPE')]}"
